Title,Location,Link,Distance,Review_Score,Review_description,Number_Of_Reviews,Details,Price
BEATRIX HOTEL,Brinchang,https://www.booking.com/hotel/my/beatrix.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=842&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575217&all_sr_blocks=1061695901_378488403_2_0_0&highlighted_blocks=1061695901_378488403_2_0_0&matching_block_id=1061695901_378488403_2_0_0&sr_pri_blocks=1061695901_378488403_2_0_0__21900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.4,Very good ,121 reviews,Travel Sustainable Level 2,MYR 219
Akar Hotel Kampung Baru,Kuala Lumpur,https://www.booking.com/hotel/my/akar-jln-raja-uda-kg-baru.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=843&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575217&all_sr_blocks=594635406_233332756_0_0_0&highlighted_blocks=594635406_233332756_0_0_0&matching_block_id=594635406_233332756_0_0_0&sr_pri_blocks=594635406_233332756_0_0_0__10377&from=searchresults#hotelTmpl,,8.5,Very good ,"1,223 reviews",,MYR 104
Apple Heritage Hotel,George Town,https://www.booking.com/hotel/my/deluxcious-heritage.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=844&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575217&all_sr_blocks=33012308_97659813_0_0_0&highlighted_blocks=33012308_97659813_0_0_0&matching_block_id=33012308_97659813_0_0_0&sr_pri_blocks=33012308_97659813_0_0_0__15300&from=searchresults#hotelTmpl,,7.1,Good ,967 reviews,,MYR 153
Platinum Service Suites Kuala Lumpur KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",https://www.booking.com/hotel/my/1020-jalan-sultan-ismail-apartment-kuala-lumpur.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=845&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575217&all_sr_blocks=530087401_276577500_0_0_0&highlighted_blocks=530087401_276577500_0_0_0&matching_block_id=530087401_276577500_0_0_0&sr_pri_blocks=530087401_276577500_0_0_0__47723&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,7.9,Good ,451 reviews,Travel Sustainable Level 1,MYR 477
Mariner Hotel Labuan,Labuan,https://www.booking.com/hotel/my/mariner-labuan.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=846&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575217&all_sr_blocks=576074602_228336552_0_1_0&highlighted_blocks=576074602_228336552_0_1_0&matching_block_id=576074602_228336552_0_1_0&sr_pri_blocks=576074602_228336552_0_1_0__16245&from=searchresults#hotelTmpl,,8.3,Very good ,660 reviews,,MYR 162
Monaco Dynasty Hotel,Tawau,https://www.booking.com/hotel/my/monaco-dynasty.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=847&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575217&all_sr_blocks=259726102_240224441_2_0_0&highlighted_blocks=259726102_240224441_2_0_0&matching_block_id=259726102_240224441_2_0_0&sr_pri_blocks=259726102_240224441_2_0_0__6500&from=searchresults#hotelTmpl,,6.7,Review score ,451 reviews,,MYR 65
"Bell Suites by Salaam Suites, Sepang",Sepang,https://www.booking.com/hotel/my/bell-suites-sepang.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=848&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575217&all_sr_blocks=678669501_366949331_3_0_0&highlighted_blocks=678669501_366949331_3_0_0&matching_block_id=678669501_366949331_3_0_0&sr_pri_blocks=678669501_366949331_3_0_0__31020&from=searchresults#hotelTmpl,,8.6,Fabulous ,"1,036 reviews",,MYR 310
Meridin Medini Suite by Nest Home【LEGOLAND】,Nusajaya,https://www.booking.com/hotel/my/meridin-medini-suite-by-nest-home-legoland-iskandar-puteri.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=849&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575217&all_sr_blocks=1023626303_374977079_4_0_0&highlighted_blocks=1023626303_374977079_4_0_0&matching_block_id=1023626303_374977079_4_0_0&sr_pri_blocks=1023626303_374977079_4_0_0__25400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.7,Fabulous ,30 reviews,Travel Sustainable Level 1,MYR 254
HOTEL SHAFURA 2,Cukai,https://www.booking.com/hotel/my/shafura-2.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=850&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575217&all_sr_blocks=429008404_285238371_2_0_0&highlighted_blocks=429008404_285238371_2_0_0&matching_block_id=429008404_285238371_2_0_0&sr_pri_blocks=429008404_285238371_2_0_0__10800&from=searchresults#hotelTmpl,,7.2,Good ,264 reviews,,MYR 108
Kuantan Imperium by Glex,Kuantan,https://www.booking.com/hotel/my/glex-homes-kwrc-kuantan.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=851&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=674220606_369010113_2_0_0&highlighted_blocks=674220606_369010113_2_0_0&matching_block_id=674220606_369010113_2_0_0&sr_pri_blocks=674220606_369010113_2_0_0__39832&from=searchresults#hotelTmpl,,8.1,Very good ,855 reviews,,MYR 398
Empire Suite At Times Square Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",https://www.booking.com/hotel/my/berjaya-apartment-suites-at-kuala-lumpur.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=852&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=619188104_277593978_2_0_0&highlighted_blocks=619188104_277593978_2_0_0&matching_block_id=619188104_277593978_2_0_0&sr_pri_blocks=619188104_277593978_2_0_0__20000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,7.2,Good ,171 reviews,Travel Sustainable Level 1,MYR 200
Taman negara rainbow guest house,Kuala Tahan,https://www.booking.com/hotel/my/taman-negara-rainbow-guest-house.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=853&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=253589305_335378657_2_0_0&highlighted_blocks=253589305_335378657_2_0_0&matching_block_id=253589305_335378657_2_0_0&sr_pri_blocks=253589305_335378657_2_0_0__9000&from=searchresults#hotelTmpl,,7.8,Good ,370 reviews,,MYR 90
Pulai Springs Resort Official,Skudai,https://www.booking.com/hotel/my/cinta-ayu-all-suites-pulai-springs-resort.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=854&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=24945712_91083447_2_1_0&highlighted_blocks=24945712_91083447_2_1_0&matching_block_id=24945712_91083447_2_1_0&sr_pri_blocks=24945712_91083447_2_1_0__27000&from=searchresults#hotelTmpl,,7.7,Good ,"1,223 reviews",,MYR 270
Armenian Street Heritage Hotel,George Town,https://www.booking.com/hotel/my/armenian-street-heritage-by-tune-hotels.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=855&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=77833301_361395365_2_2_0&highlighted_blocks=77833301_361395365_2_2_0&matching_block_id=77833301_361395365_2_2_0&sr_pri_blocks=77833301_361395365_2_2_0__24700&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,7.1,Good ,"1,471 reviews",Travel Sustainable Level 2,MYR 247
AXON Suites Bukit Bintang By Sky Pool,"Bukit Bintang, Kuala Lumpur",https://www.booking.com/hotel/my/axon-suites-bukit-bintang-by-sky-pool.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=856&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=1062397901_378577321_2_0_0&highlighted_blocks=1062397901_378577321_2_0_0&matching_block_id=1062397901_378577321_2_0_0&sr_pri_blocks=1062397901_378577321_2_0_0__62910&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,9.2,Superb ,39 reviews,Travel Sustainable Level 3,MYR 629
Upspot Kuching Waterfront Premium Hostel,Kuching,https://www.booking.com/hotel/my/upspot-kuching.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=857&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=995349801_372431316_0_0_0&highlighted_blocks=995349801_372431316_0_0_0&matching_block_id=995349801_372431316_0_0_0&sr_pri_blocks=995349801_372431316_0_0_0__9000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.5,Very good ,67 reviews,Travel Sustainable Level 1,MYR 90
The Everly Putrajaya,Putrajaya,https://www.booking.com/hotel/my/the-everly-putrajaya-putrajaya.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=858&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=81377802_90456750_0_2_0&highlighted_blocks=81377802_90456750_0_2_0&matching_block_id=81377802_90456750_0_2_0&sr_pri_blocks=81377802_90456750_0_2_0__25839&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.5,Very good ,"5,190 reviews",Travel Sustainable Level 3,MYR 258
Kota Heritage Hotel,Kota Tinggi,https://www.booking.com/hotel/my/kota-heritage-kota-tinggi1.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=859&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=648989705_265827474_2_0_0&highlighted_blocks=648989705_265827474_2_0_0&matching_block_id=648989705_265827474_2_0_0&sr_pri_blocks=648989705_265827474_2_0_0__12000&from=searchresults#hotelTmpl,,6.8,Review score ,389 reviews,,MYR 120
Imperio Professional Suite by IMPERIO HAFFA,Alor Setar,https://www.booking.com/hotel/my/imperio-professional-suite-by-haffa.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=860&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=931533301_365222116_0_0_0&highlighted_blocks=931533301_365222116_0_0_0&matching_block_id=931533301_365222116_0_0_0&sr_pri_blocks=931533301_365222116_0_0_0__30038&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,9.4,Superb ,63 reviews,Travel Sustainable Level 1,MYR 300
U3 HOTEL,Subang Jaya,https://www.booking.com/hotel/my/u3.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=861&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=290730002_381850154_0_0_0&highlighted_blocks=290730002_381850154_0_0_0&matching_block_id=290730002_381850154_0_0_0&sr_pri_blocks=290730002_381850154_0_0_0__10560&from=searchresults#hotelTmpl,,8.2,Very good ,955 reviews,,MYR 106
"Traders Hotel, Kuala Lumpur","Kuala Lumpur City-Centre, Kuala Lumpur",https://www.booking.com/hotel/my/traders-kuala-lumpur.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=862&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=17580216_93944909_2_2_0&highlighted_blocks=17580216_93944909_2_2_0&matching_block_id=17580216_93944909_2_2_0&sr_pri_blocks=17580216_93944909_2_2_0__39200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.6,Fabulous ,"8,351 reviews",Travel Sustainable Level 2,MYR 392
St Giles Boulevard,"Mid Valley, Kuala Lumpur",https://www.booking.com/hotel/my/st-giles-boulevard-premier.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=863&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=2569013_108783624_2_2_0&highlighted_blocks=2569013_108783624_2_2_0&matching_block_id=2569013_108783624_2_2_0&sr_pri_blocks=2569013_108783624_2_2_0__43000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.3,Very good ,224 reviews,Travel Sustainable Level 2,MYR 430
D&F BOUTIQUE HOTEL SEREMBAN 2,Seremban,https://www.booking.com/hotel/my/d-amp-f-boutique-seremban-2-seremban.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=864&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=656262906_370451388_4_0_0&highlighted_blocks=656262906_370451388_4_0_0&matching_block_id=656262906_370451388_4_0_0&sr_pri_blocks=656262906_370451388_4_0_0__25000&from=searchresults#hotelTmpl,,8.2,Very good ,754 reviews,,MYR 250
Emart Hotel (Riam),Miri,https://www.booking.com/hotel/my/emart-riam.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=865&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=663412608_378366991_2_0_0&highlighted_blocks=663412608_378366991_2_0_0&matching_block_id=663412608_378366991_2_0_0&sr_pri_blocks=663412608_378366991_2_0_0__6800&from=searchresults#hotelTmpl,,7.4,Good ,"1,158 reviews",,MYR 68
Pandan Laut Beach Resort,Penarek,https://www.booking.com/hotel/my/pandan-laut-beach-resort.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=866&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=37113310_95540031_2_1_0&highlighted_blocks=37113310_95540031_2_1_0&matching_block_id=37113310_95540031_2_1_0&sr_pri_blocks=37113310_95540031_2_1_0__22000&from=searchresults#hotelTmpl,,8.1,Very good ,591 reviews,,MYR 220
Top Garden Hotel,Hutan Melintang,https://www.booking.com/hotel/my/top-garden-hutan-melintang.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=867&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=620880313_343820547_2_0_0&highlighted_blocks=620880313_343820547_2_0_0&matching_block_id=620880313_343820547_2_0_0&sr_pri_blocks=620880313_343820547_2_0_0__10000&from=searchresults#hotelTmpl,,7.2,Good ,230 reviews,,MYR 100
Knight Alley Hotel,Taiping,https://www.booking.com/hotel/my/knight-alley.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=868&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=824322301_346735416_0_0_0&highlighted_blocks=824322301_346735416_0_0_0&matching_block_id=824322301_346735416_0_0_0&sr_pri_blocks=824322301_346735416_0_0_0__9788&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.4,Very good ,"1,094 reviews",Travel Sustainable Level 3,MYR 98
Imperio Residence Seafront by Perfect Host,Melaka,https://www.booking.com/hotel/my/imperio-residence-seafront-by-perfect-host.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=869&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699575236&all_sr_blocks=665800703_379465730_2_0_0&highlighted_blocks=665800703_379465730_2_0_0&matching_block_id=665800703_379465730_2_0_0&sr_pri_blocks=665800703_379465730_2_0_0__26760&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,7.4,Good ,"2,567 reviews",Travel Sustainable Level 2,MYR 268
